id,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),LII,BII,AngSep(deg),Theta95(deg),Redshift,SED Class,Log nuSync.(Hz),Log nuSync.Z corr.(Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Flux 1-100 GeV Error,Spectral Index,Spectral Type,Power Law Index,Radio flux(mJy),Radio flag,X Flux(erg cm-2 s-1),USNOVmag,SDSSVmag,ARO,AOX,CLEAN
519,3FGL J0800.9+4401,B3 0757+441,5BZBJ0801+4401,bll,120.284484,44.01948774,175.76,30.56,0.029,0.115,0.000,LSP,13.46,13.46,0.99,0.84,0.000,8.23,0.00000000042721562,7.17e-11,2.3781,PowerLaw,2.38,228.7809,nvss,0.000,20.043,19.14,0.7021,-9.9,Y
520,3FGL J0802.0+1005,NVSS J080204+100639,5BZBJ0802+1006,bll,120.520339,10.1109939,211.7,20.23,0.027,0.061,0.84159,HSP,15.48,15.745,1,0.000,0.000,5.56,0.00000000031233185,7.31e-11,2.1458,PowerLaw,2.15,6.6728,nvss,0.000,18.5868,16.78,0.151,-9.9,Y
521,3FGL J0803.3-0339,TXS 0800-034,, bcu II,120.8003196,-3.600182806,224.59,14.17,0.07,0.057,0.000,HSP,15.7,15.7,1,0.81,0.000,14.48,0.00000000099713837,1.05e-10,1.9963,PowerLaw,2,232.187,nvss,0.000,18.4626,0.000,0.513,1.3433,Y
522,3FGL J0804.4+0418,MG1 J080357+0420,, bcu II,120.9851852,4.350761014,217.39,18.09,0.13,0.214,0.000,LSP,12.875,12.875,0.93,0.000,0.000,4.69,0.00000000025473848,6.88e-11,2.5663,PowerLaw,2.57,318.6829,nvss,0.000,18.6206,19.14,0.6719,-9.9,Y
523,3FGL J0805.0-0622,1RXS J080458.3-062432,, bcu II,121.240512,-6.40739275,227.33,13.17,0.035,0.06,0.000,HSP,16.25,16.25,0.000,0.000,0.91,7.86,0.00000000053050025,1.09e-10,1.895,PowerLaw,1.9,20.9715,nvss,7.61e-12,17.8525,0.000,0.3242,0.9769,Y
524,3FGL J0805.2-0112,PKS B0802-010,, fsrq,121.303702,-1.187165383,222.66,15.78,0.029,0.076,1.388,LSP,11.999,12.377,1,0.91,0.000,10.35,0.0000000006249008,8.76e-11,2.3398,PowerLaw,2.34,473.7816,nvss,0.000,18.1808,16.75,0.5734,1.3852,Y
525,3FGL J0805.4+6144,TXS 0800+618,5BZQJ0805+6144,fsrq,121.3257482,61.73991683,155.04,32.35,0.016,0.106,3.033,LSP,12.16,12.766,1,0.93,0.000,18.27,0.00000000060187072,7.00e-11,2.7484,PowerLaw,2.75,829.1299,nvss,0.000,19.6489,0.000,0.8452,0.8717,Y
526,3FGL J0805.4+7534,RX J0805.4+7534,5BZBJ0805+7534,bll,121.3610288,75.57362254,138.89,30.79,0.008,0.024,0.121,HSP,15.35,15.4,1,0.89,0.95,26.65,0.0000000013967311,9.26e-11,1.9177,PowerLaw,1.92,52.721,nvss,7.10e-12,15.6328,0.000,0.2659,1.1714,Y
527,3FGL J0806.6+5933,SBS 0802+596,5BZBJ0806+5931,bll,121.6081203,59.51858623,157.67,32.55,0.051,0.078,0.000,HSP,15.45,15.45,0.99,0.000,0.87,6.61,0.00000000029624364,6.31e-11,1.8799,PowerLaw,1.88,61.0507,nvss,4.84e-12,16.1342,0.000,0.2812,1.2755,Y
528,3FGL J0807.1+7744,NVSS J080637+774607,, bcu II,121.6558594,77.76868791,136.38,30.42,0.041,0.12,0.000,LSP,12.527,12.527,0.98,0.83,0.000,7.73,0.00000000031569172,5.58e-11,2.4361,PowerLaw,2.44,217.0468,nvss,0.000,20.48,0.000,0.7151,-9.9,Y
529,3FGL J0807.1-0541,PKS 0804-05,5BZBJ0807-0541,bll,121.7900732,-5.687198733,226.97,14.01,0.011,0.037,0.000,ISP,14.6,14.6,1,0.95,0.000,19.42,0.0000000015899809,1.31e-10,2.0682,PowerLaw,2.07,545.4691,nvss,0.000,18.3784,0.000,0.6966,1.3334,Y
530,3FGL J0807.9+4946,OJ 508,5BZQJ0808+4950,fsrq,122.1652762,49.84348066,169.16,32.56,0.129,0.196,1.434,LSP,12.14,12.526,0.94,0.89,0.000,6.07,0.00000000027505961,6.49e-11,2.5719,PowerLaw,2.57,1115.0804,nvss,0.000,14.7382,14.29,0.4576,1.8568,N
531,3FGL J0807.9+4946,SDSS J080754.50+494627.6,, fsrq,121.9786,49.7744988,169.23,32.43,0.012,0.196,0.57531,LSP,13.01,13.207,0.93,0.83,0.000,6.07,0.00000000027505961,6.49e-11,2.5719,PowerLaw,2.57,385.5197,nvss,0.000,19.8395,17.7,0.5713,1.5712,N
